anio,ciudad,grupo,producto,precio_promedio_cop,variacion_anual_pct
2023,Barranquilla,Alimentos,Papa (kg),2600,-8.8
2023,Barranquilla,Vivienda,Arriendo estrato 3 (mensual),910000,11.0
2023,Barranquilla,Transporte,Bus Transmetro (pasaje),2650,8.2
2023,Barranquilla,Salud,Consulta médica general,48000,11.6
2024,Bogotá,Alimentos,Arroz (kg),4480,6.7
2024,Bogotá,Alimentos,Leche (litro),3720,7.8
2024,Bogotá,Alimentos,Pollo (kg),13800,4.5
2024,Bogotá,Alimentos,Huevos (docena),7500,5.6
2024,Bogotá,Alimentos,Papa (kg),3100,6.9
2024,Bogotá,Vivienda,Arriendo estrato 3 (mensual),1180000,9.3
2024,Bogotá,Transporte,Bus SITP (pasaje),3100,6.9
2024,Bogotá,Salud,Consulta médica general,61000,8.9
2024,Medellín,Alimentos,Arroz (kg),4210,6.6
2024,Medellín,Alimentos,Leche (litro),3490,7.7
2024,Medellín,Alimentos,Pollo (kg),13100,4.8
2024,Medellín,Alimentos,Huevos (docena),7100,5.2
2024,Medellín,Alimentos,Papa (kg),2900,6.6
2024,Medellín,Vivienda,Arriendo estrato 3 (mensual),1080000,9.1
2024,Medellín,Transporte,Metro (pasaje),3250,6.6
2024,Medellín,Salud,Consulta médica general,57200,9.0
2024,Cali,Alimentos,Arroz (kg),4060,6.6
2024,Cali,Alimentos,Leche (litro),3340,7.7
2024,Cali,Alimentos,Pollo (kg),12600,5.0
2024,Cali,Alimentos,Huevos (docena),6920,5.6
2024,Cali,Alimentos,Papa (kg),2960,6.5
2024,Cali,Vivienda,Arriendo estrato 3 (mensual),1030000,9.6
2024,Cali,Transporte,Bus MIO (pasaje),2940,6.9
2024,Cali,Salud,Consulta médica general,54500,9.0
2024,Barranquilla,Alimentos,Arroz (kg),3920,6.5
2024,Barranquilla,Alimentos,Leche (litro),3240,7.6
2024,Barranquilla,Alimentos,Pollo (kg),12400,5.1
2024,Barranquilla,Alimentos,Huevos (docena),6710,5.7
2024,Barranquilla,Alimentos,Papa (kg),2790,7.3
2024,Barranquilla,Vivienda,Arriendo estrato 3 (mensual),990000,8.8
2024,Barranquilla,Transporte,Bus Transmetro (pasaje),2860,7.9
2024,Barranquilla,Salud,Consulta médica general,52000,8.3
