año,mes,periodo,trm_cop_usd,variacion_mensual_pct,fuente
2013,3,2013-03,1780.65,0.69,Banco de la República de Colombia - TRM
2013,4,2013-04,1799.56,1.06,Banco de la República de Colombia - TRM
2013,5,2013-05,1806.1,0.36,Banco de la República de Colombia - TRM
2013,6,2013-06,1794.12,-0.66,Banco de la República de Colombia - TRM
2013,7,2013-07,1802.77,0.48,Banco de la República de Colombia - TRM
2013,8,2013-08,1823.17,1.13,Banco de la República de Colombia - TRM
2013,9,2013-09,1813.4,-0.54,Banco de la República de Colombia - TRM
2013,10,2013-10,1796.83,-0.91,Banco de la República de Colombia - TRM
2013,11,2013-11,1798.28,0.08,Banco de la República de Colombia - TRM
2013,12,2013-12,1780.7,-0.98,Banco de la República de Colombia - TRM
2014,1,2014-01,1899.04,-1.09,Banco de la República de Colombia - TRM
2014,2,2014-02,1885.6,-0.71,Banco de la República de Colombia - TRM
2014,3,2014-03,1891.18,0.3,Banco de la República de Colombia - TRM
2014,4,2014-04,1905.7,0.77,Banco de la República de Colombia - TRM
2014,5,2014-05,1905.96,0.01,Banco de la República de Colombia - TRM
2014,6,2014-06,1906.9,0.05,Banco de la República de Colombia - TRM
2014,7,2014-07,1922.5,0.82,Banco de la República de Colombia - TRM
2014,8,2014-08,1949.17,1.39,Banco de la República de Colombia - TRM
2014,9,2014-09,1940.15,-0.46,Banco de la República de Colombia - TRM
2014,10,2014-10,1930.12,-0.52,Banco de la República de Colombia - TRM
2014,11,2014-11,1932.65,0.13,Banco de la República de Colombia - TRM
2014,12,2014-12,1915.32,-0.9,Banco de la República de Colombia - TRM
2015,1,2015-01,2611.99,-0.81,Banco de la República de Colombia - TRM
2015,2,2015-02,2599.25,-0.49,Banco de la República de Colombia - TRM
2015,3,2015-03,2610.83,0.45,Banco de la República de Colombia - TRM
2015,4,2015-04,2640.79,1.15,Banco de la República de Colombia - TRM
2015,5,2015-05,2653.32,0.47,Banco de la República de Colombia - TRM
2015,6,2015-06,2651.22,-0.08,Banco de la República de Colombia - TRM
2015,7,2015-07,2664.03,0.48,Banco de la República de Colombia - TRM
2015,8,2015-08,2688.69,0.93,Banco de la República de Colombia - TRM
2015,9,2015-09,2679.34,-0.35,Banco de la República de Colombia - TRM
2015,10,2015-10,2655.61,-0.89,Banco de la República de Colombia - TRM
2015,11,2015-11,2660.09,0.17,Banco de la República de Colombia - TRM
2015,12,2015-12,2648.23,-0.45,Banco de la República de Colombia - TRM
2016,1,2016-01,2905.49,-0.9,Banco de la República de Colombia - TRM
2016,2,2016-02,2883.74,-0.75,Banco de la República de Colombia - TRM
2016,3,2016-03,2898.87,0.52,Banco de la República de Colombia - TRM
2016,4,2016-04,2925.43,0.92,Banco de la República de Colombia - TRM
2016,5,2016-05,2940.99,0.53,Banco de la República de Colombia - TRM
2016,6,2016-06,2931.2,-0.33,Banco de la República de Colombia - TRM
2016,7,2016-07,2946.2,0.51,Banco de la República de Colombia - TRM
2016,8,2016-08,2978.53,1.1,Banco de la República de Colombia - TRM
2016,9,2016-09,2974.03,-0.15,Banco de la República de Colombia - TRM
2016,10,2016-10,2947.57,-0.89,Banco de la República de Colombia - TRM
2016,11,2016-11,2961.36,0.47,Banco de la República de Colombia - TRM
2016,12,2016-12,2947.09,-0.48,Banco de la República de Colombia - TRM
2017,1,2017-01,2796.68,-1.28,Banco de la República de Colombia - TRM
2017,2,2017-02,2773.62,-0.82,Banco de la República de Colombia - TRM
2017,3,2017-03,2795.76,0.8,Banco de la República de Colombia - TRM
2017,4,2017-04,2823.93,1.01,Banco de la República de Colombia - TRM
2017,5,2017-05,2820.34,-0.13,Banco de la República de Colombia - TRM
2017,6,2017-06,2801.66,-0.66,Banco de la República de Colombia - TRM
2017,7,2017-07,2812.52,0.39,Banco de la República de Colombia - TRM
2017,8,2017-08,2851.95,1.4,Banco de la República de Colombia - TRM
2017,9,2017-09,2852.91,0.03,Banco de la República de Colombia - TRM
2017,10,2017-10,2831.16,-0.76,Banco de la República de Colombia - TRM
2017,11,2017-11,2832.6,0.05,Banco de la República de Colombia - TRM
2017,12,2017-12,2807.26,-0.89,Banco de la República de Colombia - TRM
2018,1,2018-01,2814.97,-0.8,Banco de la República de Colombia - TRM
2018,2,2018-02,2798.74,-0.58,Banco de la República de Colombia - TRM
2018,3,2018-03,2820.48,0.78,Banco de la República de Colombia - TRM
2018,4,2018-04,2856.82,1.29,Banco de la República de Colombia - TRM
2018,5,2018-05,2851.37,-0.19,Banco de la República de Colombia - TRM
2018,6,2018-06,2847.85,-0.12,Banco de la República de Colombia - TRM
2018,7,2018-07,2871.93,0.85,Banco de la República de Colombia - TRM
2018,8,2018-08,2910.11,1.33,Banco de la República de Colombia - TRM
2018,9,2018-09,2898.86,-0.39,Banco de la República de Colombia - TRM
2018,10,2018-10,2881.84,-0.59,Banco de la República de Colombia - TRM
2018,11,2018-11,2884.41,0.09,Banco de la República de Colombia - TRM
2018,12,2018-12,2859.83,-0.85,Banco de la República de Colombia - TRM
2019,1,2019-01,3110.8,-1.24,Banco de la República de Colombia - TRM
2019,2,2019-02,3103.43,-0.24,Banco de la República de Colombia - TRM
2019,3,2019-03,3125.17,0.7,Banco de la República de Colombia - TRM
2019,4,2019-04,3150.51,0.81,Banco de la República de Colombia - TRM
2019,5,2019-05,3156.82,0.2,Banco de la República de Colombia - TRM
2019,6,2019-06,3139.24,-0.56,Banco de la República de Colombia - TRM
2019,7,2019-07,3171.57,1.03,Banco de la República de Colombia - TRM
2019,8,2019-08,3222.21,1.6,Banco de la República de Colombia - TRM
2019,9,2019-09,3210.57,-0.36,Banco de la República de Colombia - TRM
2019,10,2019-10,3191.66,-0.59,Banco de la República de Colombia - TRM
2019,11,2019-11,3207.21,0.49,Banco de la República de Colombia - TRM
2019,12,2019-12,3172.64,-1.08,Banco de la República de Colombia - TRM
2020,1,2020-01,3511.13,-0.99,Banco de la República de Colombia - TRM
2020,2,2020-02,3491.17,-0.57,Banco de la República de Colombia - TRM
2020,3,2020-03,3512.92,0.62,Banco de la República de Colombia - TRM
2020,4,2020-04,3548.9,1.02,Banco de la República de Colombia - TRM
2020,5,2020-05,3541.82,-0.2,Banco de la República de Colombia - TRM
2020,6,2020-06,3526.21,-0.44,Banco de la República de Colombia - TRM
2020,7,2020-07,3537.34,0.32,Banco de la República de Colombia - TRM
2020,8,2020-08,3595.47,1.64,Banco de la República de Colombia - TRM
2020,9,2020-09,3599.17,0.1,Banco de la República de Colombia - TRM
2020,10,2020-10,3583.53,-0.43,Banco de la República de Colombia - TRM
2020,11,2020-11,3592.34,0.25,Banco de la República de Colombia - TRM
2020,12,2020-12,3550.9,-1.15,Banco de la República de Colombia - TRM
2021,1,2021-01,3561.98,-0.9,Banco de la República de Colombia - TRM
2021,2,2021-02,3553.34,-0.24,Banco de la República de Colombia - TRM
2021,3,2021-03,3555.78,0.07,Banco de la República de Colombia - TRM
2021,4,2021-04,3590.94,0.99,Banco de la República de Colombia - TRM
2021,5,2021-05,3585.74,-0.14,Banco de la República de Colombia - TRM
2021,6,2021-06,3582.46,-0.09,Banco de la República de Colombia - TRM
2021,7,2021-07,3615.16,0.91,Banco de la República de Colombia - TRM
2021,8,2021-08,3651.41,1.0,Banco de la República de Colombia - TRM
2021,9,2021-09,3643.38,-0.22,Banco de la República de Colombia - TRM
2021,10,2021-10,3619.33,-0.66,Banco de la República de Colombia - TRM
2021,11,2021-11,3627.0,0.21,Banco de la República de Colombia - TRM
2021,12,2021-12,3608.8,-0.5,Banco de la República de Colombia - TRM
2022,1,2022-01,4033.27,-1.26,Banco de la República de Colombia - TRM
2022,2,2022-02,3999.77,-0.83,Banco de la República de Colombia - TRM
2022,3,2022-03,4017.03,0.43,Banco de la República de Colombia - TRM
2022,4,2022-04,4064.59,1.18,Banco de la República de Colombia - TRM
2022,5,2022-05,4063.0,-0.04,Banco de la República de Colombia - TRM
2022,6,2022-06,4044.69,-0.45,Banco de la República de Colombia - TRM
2022,7,2022-07,4089.03,1.1,Banco de la República de Colombia - TRM
2022,8,2022-08,4147.09,1.42,Banco de la República de Colombia - TRM
2022,9,2022-09,4136.74,-0.25,Banco de la República de Colombia - TRM
2022,10,2022-10,4108.36,-0.69,Banco de la República de Colombia - TRM
2022,11,2022-11,4112.34,0.1,Banco de la República de Colombia - TRM
2022,12,2022-12,4070.38,-1.02,Banco de la República de Colombia - TRM
2023,1,2023-01,4097.75,-1.33,Banco de la República de Colombia - TRM
2023,2,2023-02,4076.05,-0.53,Banco de la República de Colombia - TRM
2023,3,2023-03,4083.56,0.18,Banco de la República de Colombia - TRM
2023,4,2023-04,4115.25,0.78,Banco de la República de Colombia - TRM
2023,5,2023-05,4109.36,-0.14,Banco de la República de Colombia - TRM
2023,6,2023-06,4101.34,-0.2,Banco de la República de Colombia - TRM
2023,7,2023-07,4121.16,0.48,Banco de la República de Colombia - TRM
2023,8,2023-08,4188.1,1.62,Banco de la República de Colombia - TRM
2023,9,2023-09,4191.77,0.09,Banco de la República de Colombia - TRM
2023,10,2023-10,4148.04,-1.04,Banco de la República de Colombia - TRM
2023,11,2023-11,4155.94,0.19,Banco de la República de Colombia - TRM
2023,12,2023-12,4128.31,-0.66,Banco de la República de Colombia - TRM
2024,1,2024-01,3879.77,-1.43,Banco de la República de Colombia - TRM
2024,2,2024-02,3845.08,-0.89,Banco de la República de Colombia - TRM
2024,3,2024-03,3873.86,0.75,Banco de la República de Colombia - TRM
2024,4,2024-04,3914.8,1.06,Banco de la República de Colombia - TRM
2024,5,2024-05,3921.77,0.18,Banco de la República de Colombia - TRM
2024,6,2024-06,3918.93,-0.07,Banco de la República de Colombia - TRM
2024,7,2024-07,3956.01,0.95,Banco de la República de Colombia - TRM
2024,8,2024-08,3997.64,1.05,Banco de la República de Colombia - TRM
2024,9,2024-09,3976.75,-0.52,Banco de la República de Colombia - TRM
2024,10,2024-10,3946.72,-0.76,Banco de la República de Colombia - TRM
2024,11,2024-11,3960.09,0.34,Banco de la República de Colombia - TRM
2024,12,2024-12,3927.37,-0.83,Banco de la República de Colombia - TRM
