anio,producto,valor_millones_usd,participacion_pct,destino_principal
2016,Manufacturas,4032,18.9,Latinoamérica
2016,Otros,1272,6.0,Varios
2017,Petroleo y derivados,8888,37.2,Estados Unidos
2017,Cafe,2480,10.4,Estados Unidos
2017,Carbon,3671,15.4,Europa
2017,Ferroníquel,426,1.8,Europa
2017,Flores,1312,5.5,Estados Unidos
2017,Banano,921,3.9,Europa
2017,Oro,1177,4.9,Suiza
2017,Manufacturas,4278,17.9,Latinoamérica
2017,Otros,697,3.0,Varios
2018,Petroleo y derivados,10866,39.8,Estados Unidos
2018,Cafe,2410,8.8,Estados Unidos
2018,Carbon,4231,15.5,Europa
2018,Ferroníquel,479,1.8,Europa
2018,Flores,1440,5.3,Estados Unidos
2018,Banano,967,3.5,Europa
2018,Oro,1185,4.3,Suiza
2018,Manufacturas,4812,17.6,Latinoamérica
2018,Otros,884,3.4,Varios
2019,Petroleo y derivados,9789,38.7,Estados Unidos
2019,Cafe,2538,10.0,Estados Unidos
2019,Carbon,3390,13.4,Europa
2019,Ferroníquel,467,1.8,Europa
2019,Flores,1441,5.7,Estados Unidos
2019,Banano,983,3.9,Europa
2019,Oro,1347,5.3,Suiza
2019,Manufacturas,4521,17.9,Latinoamérica
2019,Otros,831,3.3,Varios
2020,Petroleo y derivados,5789,30.8,Estados Unidos
2020,Cafe,2543,13.5,Estados Unidos
2020,Carbon,1875,10.0,Europa
2020,Ferroníquel,380,2.0,Europa
2020,Flores,1089,5.8,Estados Unidos
2020,Banano,1012,5.4,Europa
2020,Oro,1876,10.0,Suiza
2020,Manufacturas,3198,17.0,Latinoamérica
2020,Otros,1038,5.5,Varios
2021,Petroleo y derivados,9543,37.5,Estados Unidos
2021,Cafe,3017,11.9,Estados Unidos
2021,Carbon,3456,13.6,Europa
2021,Ferroníquel,651,2.6,Europa
2021,Flores,1342,5.3,Estados Unidos
2021,Banano,1068,4.2,Europa
2021,Oro,1565,6.1,Suiza
2021,Manufacturas,3995,15.7,Latinoamérica
2021,Otros,782,3.1,Varios
2022,Petroleo y derivados,14867,42.3,Estados Unidos
2022,Cafe,3441,9.8,Estados Unidos
2022,Carbon,6012,17.1,Europa
2022,Ferroníquel,754,2.1,Europa
2022,Flores,1578,4.5,Estados Unidos
2022,Banano,1123,3.2,Europa
2022,Oro,1345,3.8,Suiza
2022,Manufacturas,4671,13.3,Latinoamérica
2022,Otros,1389,4.0,Varios
2023,Petroleo y derivados,11234,38.9,Estados Unidos
2023,Cafe,2867,9.9,Estados Unidos
2023,Carbon,4123,14.3,Europa
2023,Ferroníquel,612,2.1,Europa
2023,Flores,1654,5.7,Estados Unidos
2023,Banano,1178,4.1,Europa
2023,Oro,1789,6.2,Suiza
2023,Manufacturas,4231,14.7,Latinoamérica
2023,Otros,1178,4.1,Varios
2024,Petroleo y derivados,10456,37.2,Estados Unidos
2024,Cafe,3012,10.7,Estados Unidos
2024,Carbon,3876,13.8,Europa
2024,Ferroníquel,589,2.1,Europa
2024,Flores,1712,6.1,Estados Unidos
2024,Banano,1223,4.4,Europa
2024,Oro,1934,6.9,Suiza
2024,Manufacturas,4123,14.7,Latinoamérica
2024,Otros,1189,4.2,Varios
