año,mes,periodo,ipc,variacion_mensual,variacion_anual,fuente
2012,9,2012-09,198.57,0.21,2.81,DANE - Índice de Precios al Consumidor
2012,10,2012-10,199.01,0.22,2.69,DANE - Índice de Precios al Consumidor
2012,11,2012-11,199.44,0.22,2.57,DANE - Índice de Precios al Consumidor
2012,12,2012-12,199.83,0.2,2.47,DANE - Índice de Precios al Consumidor
2013,1,2013-01,200.24,0.2,2.41,DANE - Índice de Precios al Consumidor
2013,2,2013-02,200.53,0.15,2.38,DANE - Índice de Precios al Consumidor
2013,3,2013-03,200.9,0.18,2.33,DANE - Índice de Precios al Consumidor
2013,4,2013-04,201.25,0.17,2.28,DANE - Índice de Precios al Consumidor
2013,5,2013-05,201.56,0.16,2.24,DANE - Índice de Precios al Consumidor
2013,6,2013-06,201.82,0.13,2.21,DANE - Índice de Precios al Consumidor
2013,7,2013-07,202.11,0.15,2.17,DANE - Índice de Precios al Consumidor
2013,8,2013-08,202.39,0.14,2.13,DANE - Índice de Precios al Consumidor
2013,9,2013-09,202.72,0.16,2.09,DANE - Índice de Precios al Consumidor
2013,10,2013-10,203.07,0.17,2.04,DANE - Índice de Precios al Consumidor
2013,11,2013-11,203.43,0.17,2.0,DANE - Índice de Precios al Consumidor
2013,12,2013-12,203.74,0.16,1.96,DANE - Índice de Precios al Consumidor
2014,1,2014-01,204.53,0.38,2.14,DANE - Índice de Precios al Consumidor
2014,2,2014-02,205.09,0.27,2.27,DANE - Índice de Precios al Consumidor
2014,3,2014-03,205.8,0.35,2.44,DANE - Índice de Precios al Consumidor
2014,4,2014-04,206.48,0.33,2.6,DANE - Índice de Precios al Consumidor
2014,5,2014-05,207.08,0.29,2.74,DANE - Índice de Precios al Consumidor
2014,6,2014-06,207.58,0.24,2.85,DANE - Índice de Precios al Consumidor
2014,7,2014-07,208.15,0.27,2.99,DANE - Índice de Precios al Consumidor
2014,8,2014-08,208.68,0.26,3.11,DANE - Índice de Precios al Consumidor
2014,9,2014-09,209.33,0.31,3.26,DANE - Índice de Precios al Consumidor
2014,10,2014-10,210.02,0.33,3.42,DANE - Índice de Precios al Consumidor
2014,11,2014-11,210.71,0.33,3.58,DANE - Índice de Precios al Consumidor
2014,12,2014-12,211.33,0.29,3.72,DANE - Índice de Precios al Consumidor
2015,1,2015-01,212.83,0.71,4.06,DANE - Índice de Precios al Consumidor
2015,2,2015-02,213.91,0.51,4.3,DANE - Índice de Precios al Consumidor
2015,3,2015-03,215.28,0.64,4.61,DANE - Índice de Precios al Consumidor
2015,4,2015-04,216.6,0.61,4.9,DANE - Índice de Precios al Consumidor
2015,5,2015-05,217.77,0.54,5.16,DANE - Índice de Precios al Consumidor
2015,6,2015-06,218.73,0.44,5.37,DANE - Índice de Precios al Consumidor
2015,7,2015-07,219.84,0.51,5.62,DANE - Índice de Precios al Consumidor
2015,8,2015-08,220.88,0.47,5.85,DANE - Índice de Precios al Consumidor
2015,9,2015-09,222.15,0.58,6.13,DANE - Índice de Precios al Consumidor
2015,10,2015-10,223.51,0.61,6.42,DANE - Índice de Precios al Consumidor
2015,11,2015-11,224.87,0.61,6.72,DANE - Índice de Precios al Consumidor
2015,12,2015-12,226.08,0.54,6.98,DANE - Índice de Precios al Consumidor
2016,1,2016-01,227.45,0.6,6.87,DANE - Índice de Precios al Consumidor
2016,2,2016-02,228.43,0.43,6.79,DANE - Índice de Precios al Consumidor
2016,3,2016-03,229.68,0.55,6.69,DANE - Índice de Precios al Consumidor
2016,4,2016-04,230.87,0.52,6.59,DANE - Índice de Precios al Consumidor
2016,5,2016-05,231.93,0.46,6.5,DANE - Índice de Precios al Consumidor
2016,6,2016-06,232.8,0.37,6.43,DANE - Índice de Precios al Consumidor
2016,7,2016-07,233.8,0.43,6.35,DANE - Índice de Precios al Consumidor
2016,8,2016-08,234.74,0.4,6.28,DANE - Índice de Precios al Consumidor
2016,9,2016-09,235.89,0.49,6.18,DANE - Índice de Precios al Consumidor
2016,10,2016-10,237.11,0.52,6.09,DANE - Índice de Precios al Consumidor
2016,11,2016-11,238.34,0.52,5.99,DANE - Índice de Precios al Consumidor
2016,12,2016-12,239.43,0.46,5.9,DANE - Índice de Precios al Consumidor
2017,1,2017-01,240.46,0.43,5.72,DANE - Índice de Precios al Consumidor
2017,2,2017-02,241.2,0.31,5.59,DANE - Índice de Precios al Consumidor
2017,3,2017-03,242.14,0.39,5.42,DANE - Índice de Precios al Consumidor
2017,4,2017-04,243.03,0.37,5.27,DANE - Índice de Precios al Consumidor
2017,5,2017-05,243.82,0.33,5.13,DANE - Índice de Precios al Consumidor
2017,6,2017-06,244.47,0.27,5.01,DANE - Índice de Precios al Consumidor
2017,7,2017-07,245.22,0.31,4.88,DANE - Índice de Precios al Consumidor
2017,8,2017-08,245.92,0.29,4.76,DANE - Índice de Precios al Consumidor
2017,9,2017-09,246.78,0.35,4.62,DANE - Índice de Precios al Consumidor
2017,10,2017-10,247.69,0.37,4.46,DANE - Índice de Precios al Consumidor
2017,11,2017-11,248.6,0.37,4.31,DANE - Índice de Precios al Consumidor
2017,12,2017-12,249.41,0.33,4.17,DANE - Índice de Precios al Consumidor
2018,1,2018-01,250.24,0.33,4.07,DANE - Índice de Precios al Consumidor
2018,2,2018-02,250.84,0.24,4.0,DANE - Índice de Precios al Consumidor
2018,3,2018-03,251.6,0.3,3.91,DANE - Índice de Precios al Consumidor
2018,4,2018-04,252.32,0.29,3.82,DANE - Índice de Precios al Consumidor
2018,5,2018-05,252.96,0.25,3.75,DANE - Índice de Precios al Consumidor
2018,6,2018-06,253.48,0.21,3.69,DANE - Índice de Precios al Consumidor
2018,7,2018-07,254.09,0.24,3.62,DANE - Índice de Precios al Consumidor
2018,8,2018-08,254.65,0.22,3.55,DANE - Índice de Precios al Consumidor
2018,9,2018-09,255.34,0.27,3.47,DANE - Índice de Precios al Consumidor
2018,10,2018-10,256.07,0.29,3.39,DANE - Índice de Precios al Consumidor
2018,11,2018-11,256.8,0.29,3.3,DANE - Índice de Precios al Consumidor
2018,12,2018-12,257.46,0.25,3.23,DANE - Índice de Precios al Consumidor
2019,1,2019-01,258.49,0.4,3.29,DANE - Índice de Precios al Consumidor
2019,2,2019-02,259.22,0.28,3.34,DANE - Índice de Precios al Consumidor
2019,3,2019-03,260.16,0.36,3.4,DANE - Índice de Precios al Consumidor
2019,4,2019-04,261.05,0.34,3.46,DANE - Índice de Precios al Consumidor
2019,5,2019-05,261.84,0.3,3.51,DANE - Índice de Precios al Consumidor
2019,6,2019-06,262.49,0.25,3.55,DANE - Índice de Precios al Consumidor
2019,7,2019-07,263.24,0.28,3.6,DANE - Índice de Precios al Consumidor
2019,8,2019-08,263.94,0.27,3.65,DANE - Índice de Precios al Consumidor
2019,9,2019-09,264.79,0.32,3.7,DANE - Índice de Precios al Consumidor
2019,10,2019-10,265.69,0.34,3.76,DANE - Índice de Precios al Consumidor
2019,11,2019-11,266.6,0.34,3.82,DANE - Índice de Precios al Consumidor
2019,12,2019-12,267.41,0.3,3.87,DANE - Índice de Precios al Consumidor
2020,1,2020-01,267.87,0.17,3.63,DANE - Índice de Precios al Consumidor
2020,2,2020-02,268.19,0.12,3.46,DANE - Índice de Precios al Consumidor
2020,3,2020-03,268.6,0.15,3.24,DANE - Índice de Precios al Consumidor
2020,4,2020-04,268.99,0.14,3.04,DANE - Índice de Precios al Consumidor
2020,5,2020-05,269.33,0.13,2.86,DANE - Índice de Precios al Consumidor
2020,6,2020-06,269.62,0.1,2.72,DANE - Índice de Precios al Consumidor
2020,7,2020-07,269.94,0.12,2.55,DANE - Índice de Precios al Consumidor
2020,8,2020-08,270.25,0.11,2.39,DANE - Índice de Precios al Consumidor
2020,9,2020-09,270.62,0.14,2.2,DANE - Índice de Precios al Consumidor
2020,10,2020-10,271.01,0.14,2.0,DANE - Índice de Precios al Consumidor
2020,11,2020-11,271.4,0.14,1.8,DANE - Índice de Precios al Consumidor
2020,12,2020-12,271.75,0.13,1.62,DANE - Índice de Precios al Consumidor
2021,1,2021-01,273.35,0.59,2.05,DANE - Índice de Precios al Consumidor
2021,2,2021-02,274.51,0.42,2.36,DANE - Índice de Precios al Consumidor
2021,3,2021-03,275.97,0.53,2.74,DANE - Índice de Precios al Consumidor
2021,4,2021-04,277.37,0.51,3.12,DANE - Índice de Precios al Consumidor
2021,5,2021-05,278.61,0.45,3.45,DANE - Índice de Precios al Consumidor
2021,6,2021-06,279.63,0.37,3.71,DANE - Índice de Precios al Consumidor
2021,7,2021-07,280.81,0.42,4.03,DANE - Índice de Precios al Consumidor
2021,8,2021-08,281.92,0.39,4.32,DANE - Índice de Precios al Consumidor
2021,9,2021-09,283.26,0.48,4.67,DANE - Índice de Precios al Consumidor
2021,10,2021-10,284.7,0.51,5.05,DANE - Índice de Precios al Consumidor
2021,11,2021-11,286.14,0.51,5.43,DANE - Índice de Precios al Consumidor
2021,12,2021-12,287.42,0.45,5.77,DANE - Índice de Precios al Consumidor
2022,1,2022-01,291.38,1.38,6.59,DANE - Índice de Precios al Consumidor
2022,2,2022-02,294.25,0.98,7.19,DANE - Índice de Precios al Consumidor
2022,3,2022-03,297.92,1.25,7.95,DANE - Índice de Precios al Consumidor
2022,4,2022-04,301.43,1.18,8.68,DANE - Índice de Precios al Consumidor
2022,5,2022-05,304.6,1.05,9.33,DANE - Índice de Precios al Consumidor
2022,6,2022-06,307.2,0.85,9.86,DANE - Índice de Precios al Consumidor
2022,7,2022-07,310.22,0.98,10.47,DANE - Índice de Precios al Consumidor
2022,8,2022-08,313.07,0.92,11.05,DANE - Índice de Precios al Consumidor
2022,9,2022-09,316.56,1.12,11.75,DANE - Índice de Precios al Consumidor
2022,10,2022-10,320.3,1.18,12.5,DANE - Índice de Precios al Consumidor
2022,11,2022-11,324.08,1.18,13.26,DANE - Índice de Precios al Consumidor
2022,12,2022-12,327.48,1.05,13.94,DANE - Índice de Precios al Consumidor
2023,1,2023-01,330.67,0.97,13.48,DANE - Índice de Precios al Consumidor
2023,2,2023-02,332.97,0.7,13.16,DANE - Índice de Precios al Consumidor
2023,3,2023-03,335.91,0.88,12.75,DANE - Índice de Precios al Consumidor
2023,4,2023-04,338.71,0.84,12.37,DANE - Índice de Precios al Consumidor
2023,5,2023-05,341.23,0.74,12.03,DANE - Índice de Precios al Consumidor
2023,6,2023-06,343.29,0.6,11.75,DANE - Índice de Precios al Consumidor
2023,7,2023-07,345.68,0.7,11.43,DANE - Índice de Precios al Consumidor
2023,8,2023-08,347.92,0.65,11.13,DANE - Índice de Precios al Consumidor
2023,9,2023-09,350.67,0.79,10.77,DANE - Índice de Precios al Consumidor
2023,10,2023-10,353.59,0.84,10.4,DANE - Índice de Precios al Consumidor
2023,11,2023-11,356.55,0.84,10.02,DANE - Índice de Precios al Consumidor
2023,12,2023-12,359.19,0.74,9.68,DANE - Índice de Precios al Consumidor
2024,1,2024-01,361.16,0.55,9.22,DANE - Índice de Precios al Consumidor
2024,2,2024-02,362.56,0.39,8.89,DANE - Índice de Precios al Consumidor
2024,3,2024-03,364.36,0.49,8.47,DANE - Índice de Precios al Consumidor
2024,4,2024-04,366.06,0.47,8.07,DANE - Índice de Precios al Consumidor
2024,5,2024-05,367.58,0.42,7.72,DANE - Índice de Precios al Consumidor
2024,6,2024-06,368.83,0.34,7.44,DANE - Índice de Precios al Consumidor
2024,7,2024-07,370.26,0.39,7.11,DANE - Índice de Precios al Consumidor
2024,8,2024-08,371.61,0.36,6.81,DANE - Índice de Precios al Consumidor
2024,9,2024-09,373.25,0.44,6.44,DANE - Índice de Precios al Consumidor
2024,10,2024-10,375.0,0.47,6.05,DANE - Índice de Precios al Consumidor
2024,11,2024-11,376.76,0.47,5.67,DANE - Índice de Precios al Consumidor
2024,12,2024-12,378.32,0.42,5.33,DANE - Índice de Precios al Consumidor
